CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
3496,0,3,2,1,0,0
3495,1,1,1,0,3,0
3494,1,1,2,1,1,0
3493,0,1,3,0,0,2
3492,0,0,2,0,3,1
3491,2,2,0,1,1,0
3490,1,1,1,1,1,1
3489,0,3,1,1,0,1
3488,1,0,1,1,2,1
3487,3,0,1,0,1,1
3486,2,2,0,0,1,1
3485,1,2,0,1,0,2
3484,2,0,2,0,2,0
3483,3,1,2,0,0,0
3482,1,3,1,0,0,1
3481,2,1,0,1,1,1
3480,1,0,2,2,1,0
3479,2,1,0,2,1,0
3478,0,1,1,1,1,2
3477,0,1,3,2,0,0
3476,0,1,1,2,2,0
3475,0,2,1,1,1,1
3474,1,2,1,1,1,0
3473,1,3,0,0,1,1
3472,1,0,2,1,1,1
3471,2,1,2,0,1,0
3470,0,2,1,0,2,1
3469,1,2,1,0,1,1
3468,1,0,2,1,1,1
3467,1,2,1,1,1,0
3466,0,2,0,1,2,1
3465,1,1,0,1,2,1
3464,1,1,0,0,4,0
3463,0,0,3,1,2,0
3462,1,1,2,1,1,0
3461,2,1,1,1,0,1
3460,2,0,0,2,0,2
3459,0,1,1,0,3,1
3458,0,1,0,2,0,3
3457,0,1,2,1,1,1
3456,0,1,1,0,2,2
3455,1,0,2,1,2,0
3454,0,1,2,1,2,0
3453,1,1,2,0,1,1
3452,1,1,0,0,3,1
3451,0,0,0,1,5,0
3450,0,3,0,0,2,1
3449,1,3,0,0,2,0
3448,0,3,1,0,1,1
3447,1,0,3,0,2,0
3446,2,1,1,0,1,1
3445,0,2,1,1,1,1
3444,1,3,0,0,1,1
3443,1,1,0,2,2,0
3442,0,1,1,3,0,1
3441,1,3,0,0,0,2
3440,2,0,1,0,2,1
3439,0,0,3,0,0,3
3438,1,3,1,0,1,0
3437,1,3,1,1,0,0
3436,1,1,2,1,0,1
3435,0,1,2,1,1,1
3434,1,1,1,0,0,3
3433,1,1,0,1,2,1
3432,2,1,2,1,0,0
3431,1,2,2,0,1,0
3430,0,1,0,2,3,0
3429,2,0,1,0,0,3
3428,1,2,1,0,1,1
3427,1,2,1,1,1,0
3426,0,2,2,0,2,0
3425,0,2,1,2,1,0
3424,1,0,2,0,2,1
3423,1,0,2,1,1,1
3422,0,1,2,1,2,0
3421,3,0,2,0,0,1
3420,2,1,0,0,2,1
3419,0,1,2,0,2,1
3418,1,1,0,2,0,2
3417,0,2,0,2,2,0
3416,3,0,1,0,0,2
3415,1,2,2,1,0,0
3414,0,2,1,1,0,2
3413,3,1,2,0,0,0
3412,1,2,1,1,0,1
3411,2,0,2,0,2,0
3410,0,0,1,2,2,1
3409,0,2,2,1,1,0
3408,1,1,2,1,1,0
3407,1,0,1,0,1,3
3406,1,1,0,0,3,1
3405,2,1,0,0,1,2
3404,1,2,2,1,0,0
3403,0,1,2,1,1,1
3402,1,2,0,1,1,1
3401,2,0,3,0,1,0
3400,1,1,0,2,2,0
3399,0,1,1,1,1,2
3398,1,1,1,1,2,0
3397,3,1,1,0,1,0
3396,1,0,2,0,2,1
3395,1,0,1,1,2,1
3394,0,2,1,0,3,0
3393,0,1,3,1,0,1
3392,4,0,1,1,0,0
3391,1,0,0,2,2,1
3390,0,1,3,0,1,1
3389,1,3,0,1,0,1
3388,2,0,1,1,1,1
3387,2,1,1,0,1,1
3386,0,1,2,2,0,1
3385,0,1,1,3,1,0
3384,1,0,1,1,1,2
3383,1,2,2,0,1,0
3382,0,1,2,1,2,0
3381,0,1,2,1,1,1
3380,0,2,2,0,2,0
3379,1,1,0,2,2,0
3378,2,0,1,0,1,2
3377,2,1,1,1,0,1
3376,3,2,0,0,1,0
3375,0,2,1,2,0,1
3374,0,1,1,1,1,2
3373,1,1,0,2,1,1
3372,2,0,0,2,1,1
3371,2,1,0,1,0,2
3370,1,0,1,1,2,1
3369,2,2,0,2,0,0
3368,1,2,0,2,1,0
3367,2,3,0,0,1,0
3366,0,1,1,1,1,2
3365,1,1,1,1,2,0
3364,1,1,0,0,2,2
3363,0,0,3,0,0,3
3362,2,0,2,1,1,0
3361,2,0,1,1,2,0
3360,0,1,2,1,0,2
3359,2,1,1,1,1,0
3358,2,1,0,1,0,2
3357,1,2,1,2,0,0
3356,1,0,3,1,1,0
3355,1,1,1,0,2,1
3354,0,2,2,1,0,1
3353,1,3,1,0,0,1
3352,0,2,0,0,4,0
3351,2,1,1,1,1,0
3350,0,1,0,3,1,1
3349,1,2,1,0,1,1
3348,2,1,1,2,0,0
3347,1,2,0,1,2,0
3346,0,1,1,3,1,0
3345,0,2,1,1,1,1
3344,1,1,1,2,0,1
3343,1,1,2,0,1,1
3342,2,0,1,0,2,1
3341,0,1,2,0,2,1
3340,0,0,1,1,3,1
3339,1,0,2,0,2,1
3338,0,1,1,2,1,1
3337,0,0,1,2,3,0
3336,2,0,2,0,1,1
3335,0,2,1,1,1,1
3334,1,2,0,2,1,0
